title,author,url,notes,0,0
Le père humilié,Paul Claudel,https://www.gutenberg.org/cache/epub/51014/pg51014.txt,,57,57
Les amours jaunes,Tristan Corbière,https://www.gutenberg.org/cache/epub/16883/pg16883.txt,,58,58
"Les contemplations: Autrefois, 1830-1843",Victor Hugo,https://www.gutenberg.org/cache/epub/29843/pg29843.txt,,59,59
"Les contemplations: Aujourd'hui, 1843-1856",Victor Hugo,https://www.gutenberg.org/cache/epub/29844/pg29844.txt,,60,60
Le Suicide: Etude de Sociologie,Émile Durkheim,https://www.gutenberg.org/cache/epub/40489/pg40489.txt,,61,61
Le feu (Journal d'une Escouade),Henri Barbusse,https://www.gutenberg.org/cache/epub/48212/pg48212.txt,,62,62
La religieuse,Denis Diderot,https://www.gutenberg.org/cache/epub/28827/pg28827.txt,,63,63
L'Assommoir,Émile Zola,https://www.gutenberg.org/cache/epub/6497/pg6497.txt,,64,64
La Mare au Diable,George Sand,https://www.gutenberg.org/cache/epub/23582/pg23582.txt,,65,65
Le tour du monde en quatre-vingts jours,Jules Verne,https://www.gutenberg.org/cache/epub/3456/pg3456.txt,,66,66
"De la terre à la lune, trajet direct en 97 heures 20 minutes",Jules Verne,https://www.gutenberg.org/cache/epub/38674/pg38674.txt,,67,67
Une vie,Guy de Maupassant,https://www.gutenberg.org/cache/epub/17457/pg17457.txt,,68,68
La Bête humaine,Émile Zola,https://www.gutenberg.org/cache/epub/5154/pg5154.txt,,69,69
Le juif errant - Tome I,Eugène Sue,https://www.gutenberg.org/cache/epub/15295/pg15295.txt,,70,70
Le juif errant - Tome II,Eugène Sue,https://www.gutenberg.org/cache/epub/15296/pg15296.txt,,71,71
Le Fantôme de l'Opéra,Gaston Leroux,https://www.gutenberg.org/cache/epub/62215/pg62215.txt,,72,72
La Radiologie et La Guerre,Marie Curie,https://www.gutenberg.org/cache/epub/44098/pg44098.txt,,73,73
Recherches sur les substances radioactives,Marie Curie,https://www.gutenberg.org/cache/epub/43233/pg43233.txt,,74,74
Le mystère de la chambre jaune,Gaston Leroux,https://www.gutenberg.org/cache/epub/13765/pg13765.txt,,75,75
"Le comte de Monte-Cristo, Tome I",Alexandre Dumas,https://www.gutenberg.org/cache/epub/17989/pg17989.txt,,,
"Le comte de Monte-Cristo, Tome II",Alexandre Dumas,https://www.gutenberg.org/cache/epub/17990/pg17990.txt,,,
"Le comte de Monte-Cristo, Tome III",Alexandre Dumas,https://www.gutenberg.org/cache/epub/17991/pg17991.txt,,,
"Le comte de Monte-Cristo, Tome IV",Alexandre Dumas,https://www.gutenberg.org/cache/epub/17992/pg17992.txt,,,
La rôtisserie de la Reine Pédauque,Anatole France,https://www.gutenberg.org/cache/epub/11645/pg11645.txt,,,
Les opinions de M. Jérôme Coignard,Anatole France,https://www.gutenberg.org/cache/epub/19233/pg19233.txt,,,
Les bijoux indiscrets,Denis Diderot,https://www.gutenberg.org/cache/epub/37491/pg37491.txt,,,
L'Aiglon: Drame en six actes,Edmond Rostand,https://www.gutenberg.org/cache/epub/66793/pg66793.txt,,,
Le parfum de la Dame en noir,Gaston Leroux,https://www.gutenberg.org/cache/epub/15554/pg15554.txt,,,
Les etranges noces de Rouletabille,Gaston Leroux,https://www.gutenberg.org/cache/epub/13772/pg13772.txt,,,
La petite Fadette,George Sand,https://www.gutenberg.org/cache/epub/34204/pg34204.txt,,,
"Le bestiaire: ou, Cortège d'Orphée",Guillaume Apollinaire,https://www.gutenberg.org/cache/epub/60199/pg60199.txt,,,
Calligrammes: Poèmes de la paix et de la guerre (1913-1916),Guillaume Apollinaire,https://www.gutenberg.org/cache/epub/55569/pg55569.txt,,,
Les Peintres Cubistes,Guillaume Apollinaire,https://www.gutenberg.org/cache/epub/55638/pg55638.txt,,,
La tentation de Saint Antoine,Gustave Flaubert,https://www.gutenberg.org/cache/epub/10982/pg10982.txt,,,
Trois contes,Gustave Flaubert,https://www.gutenberg.org/cache/epub/12065/pg12065.txt,,,
Dictionnaire des idées reçues,Gustave Flaubert,https://www.gutenberg.org/cache/epub/14156/pg14156.txt,,,
Boule de Suif,Guy de Maupassant,https://www.gutenberg.org/cache/epub/10746/pg10746.txt,,,
Pierre et Jean,Guy de Maupassant,https://www.gutenberg.org/cache/epub/11131/pg11131.txt,,,
Le médecin malgré lui,Molière,https://www.gutenberg.org/cache/epub/20498/pg20498.txt,,,
L'Avare,Molière,https://www.gutenberg.org/cache/epub/6318/pg6318.txt,,,
"Don Juan, ou le Festin de pierre",Molière,https://www.gutenberg.org/cache/epub/5130/pg5130.txt,,,
