title,author,url
The Kama Sutra,Vatsyayana,https://www.gutenberg.org/cache/epub/27827/pg27827.txt
Treasure Island,Robert Louis Stevenson,https://www.gutenberg.org/cache/epub/120/pg120.txt
Anna Karenina,Leo Tolstoy,https://www.gutenberg.org/cache/epub/1399/pg1399.txt
Emma,Jane Austen,https://www.gutenberg.org/cache/epub/158/pg158.txt
Phaedrus,Plato,https://www.gutenberg.org/cache/epub/1636/pg1636.txt
The Wonderful Wizard of Oz,L .Frank Baum,https://www.gutenberg.org/cache/epub/55/pg55.txt
The Confessions of St. Augustine,St. Augustine,https://www.gutenberg.org/cache/epub/3296/pg3296.txt
Songs of Innocence and Experience,William Blake,https://www.gutenberg.org/cache/epub/1934/pg1934.txt
The War of the Worlds,H. G. Wells,https://www.gutenberg.org/cache/epub/36/pg36.txt
Candide,Voltaire,https://www.gutenberg.org/cache/epub/19942/pg19942.txt
Notes from the Underground,Fyodor Dostoevsky,https://www.gutenberg.org/cache/epub/600/pg600.txt
The Hound of the Baskervilles,Sir Arthur Conan Doyle,https://www.gutenberg.org/cache/epub/2852/pg2852.txt
Gulliver’s Travels,Jonathan Swift,https://www.gutenberg.org/cache/epub/65473/pg65473.txt
Around the World in Eighty Days,Jules Verne,https://www.gutenberg.org/cache/epub/103/pg103.txt
The Complete Poetical Works of Edgar Allan Poe,Edgar Allan Poe,https://www.gutenberg.org/cache/epub/10031/pg10031.txt
The Trial,Franz Kafka,https://www.gutenberg.org/cache/epub/7849/pg7849.txt
A Portrait of the Artist as a Young Man,James Joyce,https://www.gutenberg.org/cache/epub/4217/pg4217.txt
The Murder of Roger Ackroyd,Agatha Christie,https://www.gutenberg.org/cache/epub/69087/pg69087.txt
The Beasts of Tarzan,Edgar Rice Burroughs,https://www.gutenberg.org/cache/epub/85/pg85.txt
Sarrasine,Honoré de Balzac,https://www.gutenberg.org/cache/epub/1826/pg1826.txt
The Book of Mormon,Joseph Smith,https://www.gutenberg.org/cache/epub/17/pg17.txt
The Pilgrim’s Progress,John Bunyan,https://www.gutenberg.org/cache/epub/131/pg131.txt
Robinson Crusoe,Daniel Defoe,https://www.gutenberg.org/cache/epub/70841/pg70841.txt
Tristram Shandy,Laurence Sterne,https://www.gutenberg.org/cache/epub/1079/pg1079.txt
David Copperfield,Charles Dickens,https://www.gutenberg.org/cache/epub/766/pg766.txt
The Wind in the Willows,Kenneth Grahame,https://www.gutenberg.org/cache/epub/289/pg289.txt
Mrs. Dalloway,Virginia Woolf,https://www.gutenberg.org/cache/epub/71865/pg71865.txt
A Passage to India,E. M. Forster,https://www.gutenberg.org/cache/epub/61221/pg61221.txt
Men Without Women,Ernest Hemingway,https://www.gutenberg.org/cache/epub/69683/pg69683.txt
The Sun Also Rises,Ernest Hemingway,https://www.gutenberg.org/cache/epub/67138/pg67138.txt
Vanity Fair,William Makepeace Thackeray,https://www.gutenberg.org/cache/epub/599/pg599.txt
Madame Bovary,Gustave Flaubert,https://www.gutenberg.org/cache/epub/2413/pg2413.txt
Martin Chuzzlewit,Charles Dickens,https://www.gutenberg.org/cache/epub/968/pg968.txt
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,https://www.gutenberg.org/cache/epub/151/pg151.txt
